Domain,Problem,CFA,Planner,Tool,Planning Results (%),Makespan (s),Number of Actions,Processing Time (s),Memory Usage (GB)
blocks_world,P07C01,DynamicProgramming,colin2,CFP,1,-1,-1,2,0.0717010498047
blocks_world,P07C02,DynamicProgramming,colin2,CFP,124,-1,-1,3601,43.8677215576
blocks_world,P07C03,DynamicProgramming,colin2,CFP,0,65.071,101,742,26.5886230469
blocks_world,P07C04,DynamicProgramming,colin2,CFP,1,-1,-1,9,0.188751220703
blocks_world,P07C05,DynamicProgramming,colin2,CFP,0,60.066,79,13,0.202293395996
blocks_world,P07C06,DynamicProgramming,colin2,CFP,124,-1,-1,3603,109.692276001
blocks_world,P07C07,DynamicProgramming,colin2,CFP,1,-1,-1,111,1.28879165649
blocks_world,P07C08,DynamicProgramming,colin2,CFP,1,-1,-1,2,0.0605239868164
blocks_world,P07C09,DynamicProgramming,colin2,CFP,134,-1,-1,2351,119.986904144
blocks_world,P07C10,DynamicProgramming,colin2,CFP,134,-1,-1,2332,119.99092865
blocks_world,P08C01,DynamicProgramming,colin2,CFP,134,-1,-1,3362,119.594039917
blocks_world,P08C02,DynamicProgramming,colin2,CFP,1,-1,-1,283,10.2845458984
blocks_world,P08C03,DynamicProgramming,colin2,CFP,134,-1,-1,3003,119.426250458
blocks_world,P08C04,DynamicProgramming,colin2,CFP,124,-1,-1,3602,85.2118148804
blocks_world,P08C05,DynamicProgramming,colin2,CFP,134,-1,-1,3245,119.972068787
blocks_world,P08C06,DynamicProgramming,colin2,CFP,1,-1,-1,77,3.7710723877
blocks_world,P08C07,DynamicProgramming,colin2,CFP,1,-1,-1,710,5.12180709839
blocks_world,P08C08,DynamicProgramming,colin2,CFP,1,-1,-1,2804,90.2419700623
blocks_world,P08C09,DynamicProgramming,colin2,CFP,0,122.107,125,461,25.923034668
blocks_world,P08C10,DynamicProgramming,colin2,CFP,1,-1,-1,2020,34.0636482239
blocks_world,P09C01,DynamicProgramming,colin2,CFP,1,-1,-1,1,0.0423851013184
blocks_world,P09C02,DynamicProgramming,colin2,CFP,0,59.057,78,12,0.226119995117
blocks_world,P09C03,DynamicProgramming,colin2,CFP,1,-1,-1,2,0.0407943725586
blocks_world,P09C04,DynamicProgramming,colin2,CFP,0,42.036,50,299,7.64091873169
blocks_world,P09C05,DynamicProgramming,colin2,CFP,1,-1,-1,8,0.29891204834
blocks_world,P09C06,DynamicProgramming,colin2,CFP,1,-1,-1,820,8.16199874878
blocks_world,P09C07,DynamicProgramming,colin2,CFP,1,-1,-1,8,0.19123840332
blocks_world,P09C08,DynamicProgramming,colin2,CFP,1,-1,-1,65,1.06378936768
blocks_world,P09C09,DynamicProgramming,colin2,CFP,1,-1,-1,2,0.0337982177734
blocks_world,P09C10,DynamicProgramming,colin2,CFP,1,-1,-1,1467,26.2614974976
blocks_world,P10C01,DynamicProgramming,colin2,CFP,134,-1,-1,3479,119.958003998
blocks_world,P10C02,DynamicProgramming,colin2,CFP,124,-1,-1,3602,115.492744446
blocks_world,P10C03,DynamicProgramming,colin2,CFP,134,-1,-1,2302,119.91721344
blocks_world,P10C04,DynamicProgramming,colin2,CFP,134,-1,-1,2462,119.977230072
blocks_world,P10C05,DynamicProgramming,colin2,CFP,0,28.030,45,3,0.0709609985352
blocks_world,P10C06,DynamicProgramming,colin2,CFP,124,-1,-1,3602,83.1150512695
blocks_world,P10C07,DynamicProgramming,colin2,CFP,0,48.041,53,2,0.0391426086426
blocks_world,P10C08,DynamicProgramming,colin2,CFP,124,-1,-1,3601,83.36145401
blocks_world,P10C09,DynamicProgramming,colin2,CFP,0,45.044,67,486,36.2624893188
blocks_world,P10C10,DynamicProgramming,colin2,CFP,1,-1,-1,1,0.0320472717285
blocks_world,P01C01,DynamicProgramming,colin2,Object,134,-1,-1,1642,119.918575287
blocks_world,P01C02,DynamicProgramming,colin2,Object,134,-1,-1,3593,119.987754822
blocks_world,P01C03,DynamicProgramming,colin2,Object,134,-1,-1,2195,119.954223633
blocks_world,P01C04,DynamicProgramming,colin2,Object,0,67.068,82,8,0.0611038208008
blocks_world,P01C05,DynamicProgramming,colin2,Object,0,68.070,78,106,6.57250976562
blocks_world,P01C06,DynamicProgramming,colin2,Object,1,-1,-1,497,12.1951713562
blocks_world,P01C07,DynamicProgramming,colin2,Object,124,-1,-1,3602,98.8264274597
blocks_world,P01C08,DynamicProgramming,colin2,Object,0,52.054,63,23,0.600650787354
blocks_world,P01C09,DynamicProgramming,colin2,Object,0,75.080,92,1648,49.2510452271
blocks_world,P01C10,DynamicProgramming,colin2,Object,0,53.049,60,81,0.771415710449
blocks_world,P02C01,DynamicProgramming,colin2,Object,0,39.045,55,218,10.3137016296
blocks_world,P02C02,DynamicProgramming,colin2,Object,134,-1,-1,3134,119.967334747
blocks_world,P02C03,DynamicProgramming,colin2,Object,0,35.041,58,419,20.5558853149
blocks_world,P02C04,DynamicProgramming,colin2,Object,1,-1,-1,52,2.25241851807
blocks_world,P02C05,DynamicProgramming,colin2,Object,0,51.058,64,221,12.795589447
blocks_world,P02C06,DynamicProgramming,colin2,Object,0,26.033,42,2563,81.5378379822
blocks_world,P02C07,DynamicProgramming,colin2,Object,134,-1,-1,2545,119.958141327
blocks_world,P02C08,DynamicProgramming,colin2,Object,0,34.048,64,479,21.9691200256
blocks_world,P02C09,DynamicProgramming,colin2,Object,134,-1,-1,2307,119.948661804
blocks_world,P02C10,DynamicProgramming,colin2,Object,124,-1,-1,3603,109.695747375
blocks_world,P03C01,DynamicProgramming,colin2,Object,124,-1,-1,3602,97.947517395
blocks_world,P03C02,DynamicProgramming,colin2,Object,0,52.052,62,109,2.62986755371
blocks_world,P03C03,DynamicProgramming,colin2,Object,134,-1,-1,1780,119.970062256
blocks_world,P03C04,DynamicProgramming,colin2,Object,1,-1,-1,312,12.0402603149
blocks_world,P03C05,DynamicProgramming,colin2,Object,0,74.085,105,64,1.01153182983
blocks_world,P03C06,DynamicProgramming,colin2,Object,0,101.098,112,1514,47.5656700134
