,PA,CFP,CS,CA,O,OT,A,AT,AO,AOT
PA,0,0,0,0,0,0,0,0,0,0
CFP,0,1,0,0,0,0,0,0,0,0
CS,0,0,2,0,0,0,0,0,0,0
CA,0,0,0,1,0,0,1,0,0,0
O,0,0,0,0,4,0,0,0,0,0
OT,0,0,0,0,0,1,0,1,0,1
A,0,0,0,1,0,0,5,0,0,0
AT,0,0,0,0,0,1,0,2,0,1
AO,0,0,0,0,0,0,0,0,0,0
AOT,0,0,0,0,0,1,0,1,0,2
