Pair,Makespan (%),Makespan (%),Number of Actions (%),Number of Actions (%),Memory Usage (%),Memory Usage (%),Processing Time (%),Processing Time (%),
"ObjectTime-PA",0.0087,0.9258,10.5208,0.0012,18.3428,0.0000,17.1433,0.0000,
"Object-CoalitionAssistance",9.8804,0.0017,6.1004,0.0135,0.3882,0.5333,1.0229,0.3118,
"CoalitionSimilarity-PA",0.2437,0.6216,4.3743,0.0365,20.0356,0.0000,19.6887,0.0000,
"Object-ActionTime",6.4199,0.0113,11.4224,0.0007,3.4014,0.0651,3.9183,0.0478,
"ObjectTime-ActionTime",3.9242,0.0476,8.4894,0.0036,3.1437,0.0762,3.4367,0.0638,
"CFP-CoalitionSimilarity",3.4073,0.0649,1.6454,0.1996,0.2384,0.6254,0.0730,0.7871,
"ActionObject-CoalitionSimilarity",2.5666,0.1091,2.3430,0.1258,0.5299,0.4667,1.2822,0.2575,
"Object-ObjectTime",0.4103,0.5218,0.2605,0.6098,0.0055,0.9407,0.0007,0.9792,
"CFP-ActionObject",14.2448,0.0002,7.3143,0.0068,1.2418,0.2651,1.8660,0.1719,
"Object-PA",0.2046,0.6510,12.4431,0.0004,19.0196,0.0000,17.8182,0.0000,
"Action-CoalitionAssistance",5.3699,0.0205,0.1969,0.6572,0.4097,0.5221,0.1558,0.6931,
"Action-CoalitionSimilarity",0.6496,0.4202,0.0558,0.8133,2.4035,0.1211,3.3308,0.0680,
"ActionObjectTime-PA",0.1811,0.6704,6.6961,0.0097,14.4434,0.0001,12.8515,0.0003,
"CoalitionAssistance-PA",1.6504,0.1989,2.3505,0.1252,15.3303,0.0001,12.9426,0.0003,
"CFP-ActionObjectTime",7.7950,0.0052,3.7691,0.0522,3.1442,0.0762,4.2670,0.0389,
"Action-ActionTime",2.6722,0.1021,0.7493,0.3867,0.2292,0.6321,0.2083,0.6481,
"ObjectTime-Action",0.0093,0.9233,3.4110,0.0648,1.4610,0.2268,1.5223,0.2173,
"CFP-CoalitionAssistance",0.7536,0.3853,0.4829,0.4871,1.6220,0.2028,2.8952,0.0888,
"ActionTime-PA",0.6597,0.4167,3.6853,0.0549,11.7222,0.0006,9.5749,0.0020,
"CFP-PA",3.4242,0.0642,0.5673,0.4513,18.8910,0.0000,19.8040,0.0000,
"CFP-ObjectTime",11.0175,0.0009,7.1984,0.0073,0.4513,0.5017,0.7276,0.3937,
"CoalitionAssistance-CoalitionSimilarity",1.4666,0.2259,0.3398,0.5599,0.9970,0.3180,2.0347,0.1537,
"Object-ActionObject",0.0277,0.8678,0.1490,0.6995,0.4430,0.5057,0.2724,0.6017,
"ObjectTime-ActionObject",0.6705,0.4129,0.0133,0.9081,0.3321,0.5644,0.2572,0.6120,
"Action-ActionObjectTime",0.1482,0.7002,1.1343,0.2869,0.0032,0.9552,0.0054,0.9414,
"ActionTime-CoalitionSimilarity",0.3187,0.5724,1.0625,0.3026,4.1785,0.0409,5.7101,0.0169,
"ActionTime-ActionObjectTime",2.0658,0.1506,4.1149,0.0425,0.3972,0.5285,0.4460,0.5042,
"Action-PA",0.0037,0.9513,5.5680,0.0183,12.2144,0.0005,11.4578,0.0007,
"Object-ActionObjectTime",1.4864,0.2228,1.5253,0.2168,1.8307,0.1760,1.5800,0.2088,
"ActionObject-CoalitionAssistance",10.4366,0.0012,4.4557,0.0348,0.0152,0.9017,0.2662,0.6059,
"ActionTime-ActionObject",6.9565,0.0084,8.8134,0.0030,1.7041,0.1917,2.1841,0.1394,
"CFP-Action",8.4296,0.0037,1.4159,0.2341,2.9485,0.0860,4.3068,0.0380,
"ActionObjectTime-CoalitionAssistance",4.7413,0.0294,1.6281,0.2020,0.4465,0.5040,0.0653,0.7982,
"Object-CoalitionSimilarity",2.5953,0.1072,3.6065,0.0576,0.0273,0.8688,0.3244,0.5690,
"Action-ActionObject",0.5993,0.4388,3.7339,0.0533,0.6253,0.4291,0.7746,0.3788,
"ActionObject-PA",0.1194,0.7297,10.5612,0.0012,17.0983,0.0000,16.0101,0.0001,
"CFP-ActionTime",2.8654,0.0905,0.1825,0.6692,4.9881,0.0255,6.8223,0.0090,
"ActionObject-ActionObjectTime",1.8772,0.1706,0.7027,0.4019,0.5929,0.4413,0.5808,0.4460,
"ObjectTime-CoalitionSimilarity",1.2252,0.2683,2.2682,0.1321,0.0613,0.8045,0.3507,0.5537,
"CFP-Object",14.1093,0.0002,9.2621,0.0023,0.4030,0.5256,0.7412,0.3893,
"ActionTime-CoalitionAssistance",0.8736,0.3500,0.1679,0.6819,1.2518,0.2632,0.6753,0.4112,
"ObjectTime-ActionObjectTime",0.3670,0.5447,0.5754,0.4481,1.5521,0.2128,1.3911,0.2382,
"ActionObjectTime-CoalitionSimilarity",0.3276,0.5671,0.5306,0.4664,2.2470,0.1339,3.3084,0.0689,
"Object-Action",0.4449,0.5048,5.3224,0.0211,1.7780,0.1824,1.9351,0.1642,
"ObjectTime-CoalitionAssistance",7.0611,0.0079,4.1172,0.0424,0.2754,0.5997,0.8217,0.3647,
