Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,4.0965,0.0430,0.0083,0.9276,8.7902,0.0030,11.7320,0.0006,
PA,CS,7.1435,0.0075,0.7007,0.4026,9.1389,0.0025,13.5769,0.0002,
PA,CA,2.5861,0.1078,0.0146,0.9038,2.2887,0.1303,4.8927,0.0270,
PA,O,0.3834,0.5358,2.4224,0.1196,9.3534,0.0022,12.7811,0.0004,
PA,A,1.7097,0.1910,0.0024,0.9610,1.6152,0.2038,3.8707,0.0491,
PA,AO,0.5088,0.4756,1.6723,0.1959,6.6580,0.0099,9.8088,0.0017,
PA,OT,0.9186,0.3378,1.5600,0.2117,8.2053,0.0042,11.9808,0.0005,
PA,AT,3.4996,0.0614,0.0670,0.7957,0.9885,0.3201,2.9507,0.0858,
PA,AOT,2.5587,0.1097,0.1120,0.7378,2.9541,0.0857,6.2858,0.0122,
CFP,CS,1.0155,0.3136,0.6074,0.4358,0.3569,0.5502,0.0730,0.7871,
CFP,CA,0.2149,0.6429,0.0375,0.8464,3.1622,0.0754,2.6244,0.1052,
CFP,O,3.0098,0.0828,3.8989,0.0483,0.3447,0.5571,0.0551,0.8144,
CFP,A,0.2603,0.6099,0.0070,0.9335,3.5688,0.0589,2.8815,0.0896,
CFP,AO,2.3068,0.1288,2.7805,0.0954,1.1062,0.2929,0.5431,0.4612,
CFP,OT,1.4558,0.2276,2.7041,0.1001,0.3614,0.5478,0.0957,0.7570,
CFP,AT,0.0274,0.8685,0.0090,0.9246,5.3768,0.0204,4.7790,0.0288,
CFP,AOT,0.2006,0.6542,0.5688,0.4507,2.7985,0.0944,1.8299,0.1761,
CS,CA,1.3374,0.2475,0.8137,0.3670,1.8783,0.1705,2.0638,0.1508,
CS,O,6.7161,0.0096,6.0813,0.0137,0.0334,0.8551,0.0245,0.8756,
CS,A,2.2687,0.1320,0.5204,0.4707,2.9826,0.0842,2.6851,0.1013,
CS,AO,5.2939,0.0214,4.3873,0.0362,0.4666,0.4946,0.1939,0.6597,
CS,OT,4.7670,0.0290,4.6921,0.0303,0.0378,0.8458,0.0050,0.9436,
CS,AT,0.9228,0.3367,0.3613,0.5478,4.8835,0.0271,4.7377,0.0295,
CS,AOT,2.0203,0.1552,1.8062,0.1790,2.0334,0.1539,1.6141,0.2039,
CA,O,1.7165,0.1901,2.1064,0.1467,1.7168,0.1901,2.3601,0.1245,
CA,A,0.0890,0.7654,0.0011,0.9731,0.0093,0.9233,0.0102,0.9195,
CA,AO,1.3349,0.2479,1.3766,0.2407,0.6372,0.4247,0.9583,0.3276,
CA,OT,0.6439,0.4223,1.4131,0.2345,1.4229,0.2329,2.1619,0.1415,
CA,AT,0.1785,0.6727,0.0311,0.8599,0.4347,0.5097,0.3156,0.5743,
CA,AOT,0.0126,0.9107,0.1523,0.6963,0.0016,0.9678,0.0565,0.8121,
O,A,0.8884,0.3459,2.5515,0.1102,2.4721,0.1159,2.6561,0.1032,
O,AO,0.0265,0.8708,0.0196,0.8887,0.2026,0.6526,0.4531,0.5008,
O,OT,0.3286,0.5665,0.1098,0.7404,0.0009,0.9762,0.0045,0.9466,
O,AT,3.2284,0.0724,4.1117,0.0426,4.4720,0.0345,4.8840,0.0271,
O,AOT,1.6785,0.1951,1.5140,0.2185,1.7286,0.1886,2.0447,0.1527,
A,AO,0.4982,0.4803,1.7047,0.1917,1.2506,0.2634,1.0586,0.3035,
A,OT,0.2395,0.6246,1.6928,0.1932,2.3436,0.1258,2.6470,0.1037,
A,AT,0.2512,0.6162,0.0388,0.8439,0.1695,0.6806,0.1586,0.6905,
A,AOT,0.0270,0.8695,0.1833,0.6686,0.1257,0.7230,0.2061,0.6499,
AO,OT,0.1418,0.7065,0.0248,0.8748,0.1690,0.6810,0.3779,0.5387,
AO,AT,2.1724,0.1405,2.8344,0.0923,2.6032,0.1066,2.5370,0.1112,
AO,AOT,1.0817,0.2983,0.9384,0.3327,0.6557,0.4181,0.5929,0.4413,
OT,AT,1.6917,0.1934,2.8791,0.0897,4.1937,0.0406,4.7743,0.0289,
OT,AOT,0.5450,0.4604,0.8215,0.3647,1.5622,0.2113,1.9221,0.1656,
AT,AOT,0.1778,0.6733,0.6226,0.4301,0.6289,0.4277,0.8052,0.3695,
